method,n_control,n_control_passed,n_spatial,n_spatial_blocked,n_spatial_scored,n_spatial_passed_protocol,n_spatial_passed_raw,control_ok,protocol_spatial,raw_spatial,protocol_control,raw_overall,protocol_overall,family,explainer
lasso_composition_density,2,2,8,0,8,2,2,True,2/8,2/8,2/2,4/10,4/10,composition_density,lasso
shap_composition_density,2,2,8,0,8,2,2,True,2/8,2/8,2/2,4/10,4/10,composition_density,shap
lasso_composition_mixing,2,1,8,2,6,5,6,False,5/6,6/8,1/2,7/10,6/10,composition_mixing,lasso
shap_composition_mixing,2,0,8,6,2,1,6,False,1/2,6/8,0/2,6/10,1/10,composition_mixing,shap
lasso_density_mixing,2,1,8,8,0,0,6,False,0/8,6/8,1/2,7/10,1/10,density_mixing,lasso
shap_density_mixing,2,1,8,8,0,0,6,False,0/8,6/8,1/2,7/10,1/10,density_mixing,shap
lasso_composition_point_pattern,2,2,8,2,6,5,5,True,5/6,5/8,2/2,7/10,7/10,composition_point_pattern,lasso
shap_composition_point_pattern,2,2,8,2,6,5,5,True,5/6,5/8,2/2,7/10,7/10,composition_point_pattern,shap
lasso_density_point_pattern,2,2,8,0,8,6,6,True,6/8,6/8,2/2,8/10,8/10,density_point_pattern,lasso
shap_density_point_pattern,2,2,8,0,8,6,6,True,6/8,6/8,2/2,8/10,8/10,density_point_pattern,shap
lasso_mixing_point_pattern,2,0,8,8,0,0,6,False,0/8,6/8,0/2,6/10,0/10,mixing_point_pattern,lasso
shap_mixing_point_pattern,2,0,8,8,0,0,6,False,0/8,6/8,0/2,6/10,0/10,mixing_point_pattern,shap
